keys,en,fr,de
New Game,New Game,Nouvelle partie,Neues Spiel
Load Game,Load Game,Charger une partie,Spiel laden
Options,Options,Options,Optionen
Quit,Quit,Quitter,Beenden
English,English,Anglais,Englisch
French,French,Français,Französisch
German,German,Allemand,Deutsch
Back,Back,Retour,Zurück
Upgrades,Upgrades,Améliorations,Verbesserungen
Mission 1,Mission 1,Mission 1,Mission 1
Mission 2,Mission 2,Mission 2,Mission 2
Mission 3,Mission 3,Mission 3,Mission 3
Mission 4,Mission 4,Mission 4,Mission 4
Prestige,Prestige,Prestige,Prestige
